epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3417,0,114.478,0,0,0,0,0,0,265.133,0,0.00010003,0.00010003,0.00010003
2,41.0417,0,108.28,0,0,0,0,0,0,263.357,0,0.000207276,0.000207276,0.000207276
3,59.4673,0,98.8999,0,0,0,0,0,0,261.627,0,0.000306978,0.000306978,0.000306978
4,77.7926,0,92.8243,0,0,0,0,0,0,254.185,0,0.000399134,0.000399134,0.000399134
5,95.7961,0,87.3316,0,0,0,0,0,0,234.137,0,0.000483745,0.000483745,0.000483745
6,113.864,0,83.1182,0,0,0,0,0,0,204.775,0,0.000560811,0.000560811,0.000560811
7,131.895,0,79.9406,0,0,0,0,0,0,898.55,0,0.000630332,0.000630332,0.000630332
8,149.838,0,77.8852,0,0,0,0,0,0,197.231,0,0.000692308,0.000692308,0.000692308
9,167.779,0,75.9794,0,0,0,0,0,0,169.991,0,0.000746738,0.000746738,0.000746738
10,185.725,0,74.0378,0,0,0,0,0,0,156.184,0,0.000793624,0.000793624,0.000793624
11,203.818,0,71.8556,0,0,0,0,0,0,159.035,0,0.000832964,0.000832964,0.000832964
12,221.97,0,70.3314,0,0,0,0,0,0,158.398,0,0.000864759,0.000864759,0.000864759
13,239.937,0,68.6403,0,0,0,0,0,0,165.173,0,0.000863116,0.000863116,0.000863116
14,257.728,0,66.9558,0,0,0,0,0,0,153.664,0,0.000815959,0.000815959,0.000815959
15,275.798,0,65.4175,0,0,0,0,0,0,147.267,0,0.000768802,0.000768802,0.000768802
16,293.901,0,63.6975,0,0,0,0,0,0,142.993,0,0.000721645,0.000721645,0.000721645
17,312.14,0,62.4402,0,0,0,0,0,0,142.289,0,0.000674488,0.000674488,0.000674488
18,332.219,0,60.9507,0,0,0,0,0,0,146.767,0,0.000627331,0.000627331,0.000627331
19,351.608,0,59.9373,0,0,0,0,0,0,153.792,0,0.000580174,0.000580174,0.000580174
20,371.633,0,59.0419,0,0,0,0,0,0,150.579,0,0.000533017,0.000533017,0.000533017
21,391.001,0,58.0825,0,0,0,0,0,0,145.663,0,0.00048586,0.00048586,0.00048586
22,410.518,0,57.1939,0,0,0,0,0,0,140.239,0,0.000438703,0.000438703,0.000438703
23,430.955,0,56.3402,0,0,0,0,0,0,131.689,0,0.000391546,0.000391546,0.000391546
24,449.58,0,55.6892,0,0,0,0,0,0,132.095,0,0.000344389,0.000344389,0.000344389
25,467.354,0,55.0035,0,0,0,0,0,0,132.762,0,0.000297232,0.000297232,0.000297232
26,485.086,0,54.4434,0,0,0,0,0,0,132.768,0,0.000250075,0.000250075,0.000250075
27,502.393,0,53.9363,0,0,0,0,0,0,132.509,0,0.000202918,0.000202918,0.000202918
28,520.085,0,53.6869,0,0,0,0,0,0,132.361,0,0.000155761,0.000155761,0.000155761
29,537.815,0,53.3385,0,0,0,0,0,0,131.44,0,0.000108604,0.000108604,0.000108604
30,555.927,0,53.2414,0,0,0,0,0,0,130.818,0,6.1447e-05,6.1447e-05,6.1447e-05
