epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.58679,1.16594,0.53125,1,0.97767,0.00010003,0.00010003,0.00010003
2,3.10229,0.76781,0.5,1,0.89463,0.000207276,0.000207276,0.000207276
3,4.44948,0.50331,0.5,1,0.82674,0.000306978,0.000306978,0.000306978
4,5.76084,0.36466,0.53125,1,0.5956,0.000399134,0.000399134,0.000399134
5,7.13238,0.28187,0.96875,1,0.29718,0.000483745,0.000483745,0.000483745
6,8.54124,0.17349,0.96875,1,0.13737,0.000560811,0.000560811,0.000560811
7,9.82648,0.13743,0.96875,1,0.07887,0.000630332,0.000630332,0.000630332
8,11.2917,0.12261,0.96875,1,0.05378,0.000692308,0.000692308,0.000692308
9,12.6233,0.09067,0.96875,1,0.03292,0.000746738,0.000746738,0.000746738
10,13.9571,0.05727,0.96875,1,0.02955,0.000793624,0.000793624,0.000793624
11,15.362,0.04095,1,1,0.01868,0.000832964,0.000832964,0.000832964
12,16.7142,0.09294,1,1,0.01572,0.000864759,0.000864759,0.000864759
13,18.136,0.02357,1,1,0.01639,0.000863116,0.000863116,0.000863116
14,19.562,0.01468,1,1,0.01357,0.000815959,0.000815959,0.000815959
15,21.0259,0.02646,1,1,0.00743,0.000768802,0.000768802,0.000768802
16,22.4478,0.00953,1,1,0.00414,0.000721645,0.000721645,0.000721645
17,23.9044,0.04039,1,1,0.00261,0.000674488,0.000674488,0.000674488
18,25.501,0.00683,1,1,0.00241,0.000627331,0.000627331,0.000627331
19,27.2543,0.02965,1,1,0.00154,0.000580174,0.000580174,0.000580174
20,28.9163,0.04567,1,1,0.00075,0.000533017,0.000533017,0.000533017
21,30.6906,0.01243,1,1,0.00073,0.00048586,0.00048586,0.00048586
22,32.28,0.02067,1,1,0.00257,0.000438703,0.000438703,0.000438703
23,34.0675,0.03054,1,1,0.00351,0.000391546,0.000391546,0.000391546
24,35.6584,0.0162,1,1,0.00103,0.000344389,0.000344389,0.000344389
25,37.0233,0.02192,1,1,0.00044,0.000297232,0.000297232,0.000297232
26,38.3778,0.00502,1,1,0.00053,0.000250075,0.000250075,0.000250075
27,39.7413,0.02052,1,1,0.00044,0.000202918,0.000202918,0.000202918
28,41.0789,0.007,1,1,0.00048,0.000155761,0.000155761,0.000155761
29,42.518,0.01193,1,1,0.0004,0.000108604,0.000108604,0.000108604
30,43.8687,0.05912,1,1,0.00059,6.1447e-05,6.1447e-05,6.1447e-05
