epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.44302,1.14178,0.46875,1,0.9531,0.00010003,0.00010003,0.00010003
2,7.27101,0.70195,0.5,1,0.73102,0.000207276,0.000207276,0.000207276
3,10.5613,0.43182,0.5625,1,0.59601,0.000306978,0.000306978,0.000306978
4,13.8258,0.35481,0.9375,1,0.40135,0.000399134,0.000399134,0.000399134
5,17.252,0.21916,0.96875,1,0.2643,0.000483745,0.000483745,0.000483745
6,20.5412,0.12714,0.96875,1,0.17352,0.000560811,0.000560811,0.000560811
7,23.8586,0.10451,0.96875,1,0.12204,0.000630332,0.000630332,0.000630332
8,27.2781,0.101,0.96875,1,0.10711,0.000692308,0.000692308,0.000692308
9,30.6935,0.07249,0.96875,1,0.04842,0.000746738,0.000746738,0.000746738
10,33.9888,0.04981,0.96875,1,0.02685,0.000793624,0.000793624,0.000793624
11,37.2559,0.05709,1,1,0.0065,0.000832964,0.000832964,0.000832964
12,43.938,0.09889,1,1,0.00296,0.000864759,0.000864759,0.000864759
13,52.1108,0.02235,1,1,0.00288,0.000863116,0.000863116,0.000863116
14,60.3753,0.0175,1,1,0.00536,0.000815959,0.000815959,0.000815959
15,64.2284,0.00808,1,1,0.00481,0.000768802,0.000768802,0.000768802
16,67.5214,0.00785,1,1,0.00462,0.000721645,0.000721645,0.000721645
17,70.7483,0.0242,1,1,0.00275,0.000674488,0.000674488,0.000674488
18,73.9835,0.01201,1,1,0.00229,0.000627331,0.000627331,0.000627331
19,77.1304,0.01904,1,1,0.0015,0.000580174,0.000580174,0.000580174
20,80.3843,0.02824,1,1,0.00134,0.000533017,0.000533017,0.000533017
21,83.6655,0.01142,1,1,0.00064,0.00048586,0.00048586,0.00048586
22,86.9494,0.02408,1,1,0.00097,0.000438703,0.000438703,0.000438703
23,90.0998,0.01378,1,1,0.00099,0.000391546,0.000391546,0.000391546
24,93.3805,0.02682,1,1,0.00096,0.000344389,0.000344389,0.000344389
25,96.5619,0.00761,1,1,0.00113,0.000297232,0.000297232,0.000297232
26,99.8265,0.00123,1,1,0.00103,0.000250075,0.000250075,0.000250075
27,103.151,0.00269,1,1,0.00108,0.000202918,0.000202918,0.000202918
28,106.309,0.0068,1,1,0.00127,0.000155761,0.000155761,0.000155761
29,109.63,0.00461,1,1,0.00092,0.000108604,0.000108604,0.000108604
30,112.854,0.01867,1,1,0.00117,6.1447e-05,6.1447e-05,6.1447e-05
