epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.63643,0.92663,0.8104,1,0.50939,0.0002858,0.0002858,0.0002858
2,15.2182,0.47819,0.9633,1,0.14816,0.000574289,0.000574289,0.000574289
3,22.8283,0.17658,1,1,0.00548,0.000850895,0.000850895,0.000850895
4,30.3969,0.13966,1,1,0.00126,0.00111562,0.00111562,0.00111562
5,37.7433,0.06555,1,1,0.01109,0.00131582,0.00131582,0.00131582
6,45.218,0.0515,1,1,0.00123,0.00128753,0.00128753,0.00128753
7,52.5371,0.06865,1,1,0.0056,0.00125923,0.00125923,0.00125923
8,59.7041,0.06486,1,1,0.00105,0.00123094,0.00123094,0.00123094
9,66.8586,0.08778,1,1,0.00098,0.00120265,0.00120265,0.00120265
10,74.1806,0.04298,1,1,0.00293,0.00117435,0.00117435,0.00117435
11,81.4562,0.02825,1,1,0.00135,0.00114606,0.00114606,0.00114606
12,88.8691,0.02653,1,1,0.00019,0.00111776,0.00111776,0.00111776
13,96.3787,0.02492,1,1,0.00012,0.00108947,0.00108947,0.00108947
14,103.638,0.02408,1,1,7e-05,0.00106118,0.00106118,0.00106118
15,110.949,0.02924,1,1,3e-05,0.00103288,0.00103288,0.00103288
16,118.313,0.02299,1,1,4e-05,0.00100459,0.00100459,0.00100459
17,125.46,0.03227,1,1,3e-05,0.000976293,0.000976293,0.000976293
18,132.528,0.02227,1,1,6e-05,0.000947999,0.000947999,0.000947999
19,139.788,0.01171,1,1,0.00039,0.000919704,0.000919704,0.000919704
20,147.072,0.03476,1,1,0.00387,0.00089141,0.00089141,0.00089141
21,154.521,0.0153,1,1,0.00112,0.000863116,0.000863116,0.000863116
22,161.789,0.04778,1,1,8e-05,0.000834822,0.000834822,0.000834822
23,169.094,0.0156,1,1,4e-05,0.000806528,0.000806528,0.000806528
24,176.513,0.03697,1,1,3e-05,0.000778233,0.000778233,0.000778233
25,185.355,0.01443,1,1,0.0001,0.000749939,0.000749939,0.000749939
26,193.565,0.04479,1,1,0.0001,0.000721645,0.000721645,0.000721645
27,201.119,0.02873,1,1,0.00013,0.000693351,0.000693351,0.000693351
28,209.105,0.01117,1,1,0.00027,0.000665057,0.000665057,0.000665057
29,216.604,0.00998,1,1,0.00014,0.000636762,0.000636762,0.000636762
30,224.294,0.04834,1,1,5e-05,0.000608468,0.000608468,0.000608468
31,231.924,0.01753,1,1,3e-05,0.000580174,0.000580174,0.000580174
32,239.278,0.0227,1,1,5e-05,0.00055188,0.00055188,0.00055188
33,246.416,0.0117,1,1,6e-05,0.000523586,0.000523586,0.000523586
34,253.551,0.00645,1,1,0.00011,0.000495291,0.000495291,0.000495291
35,260.718,0.00443,1,1,0.00011,0.000466997,0.000466997,0.000466997
36,268.14,0.00344,1,1,3e-05,0.000438703,0.000438703,0.000438703
37,275.716,0.00758,1,1,2e-05,0.000410409,0.000410409,0.000410409
38,283.127,0.01088,1,1,1e-05,0.000382115,0.000382115,0.000382115
39,290.405,0.00689,1,1,1e-05,0.00035382,0.00035382,0.00035382
40,297.774,0.00233,1,1,1e-05,0.000325526,0.000325526,0.000325526
41,304.971,0.00799,1,1,1e-05,0.000297232,0.000297232,0.000297232
42,312.279,0.00244,1,1,1e-05,0.000268938,0.000268938,0.000268938
43,319.519,0.0056,1,1,1e-05,0.000240644,0.000240644,0.000240644
44,327.001,0.00323,1,1,2e-05,0.000212349,0.000212349,0.000212349
45,334.305,0.00121,1,1,2e-05,0.000184055,0.000184055,0.000184055
46,341.564,0.01296,1,1,1e-05,0.000155761,0.000155761,0.000155761
47,348.876,0.00296,1,1,1e-05,0.000127467,0.000127467,0.000127467
48,356.33,0.00298,1,1,1e-05,9.91726e-05,9.91726e-05,9.91726e-05
49,363.588,0.00218,1,1,1e-05,7.08784e-05,7.08784e-05,7.08784e-05
50,370.834,0.00338,1,1,1e-05,4.25842e-05,4.25842e-05,4.25842e-05
